,Player,FrameNo,Shot
0,80,1,1
1,80,2,1
2,80,3,1
3,80,4,1
4,80,5,1
5,80,6,1
6,80,7,1
7,80,8,1
8,80,9,1
9,80,10,1
10,80,11,1
11,80,12,1
12,80,13,1
13,80,14,1
14,80,15,1
15,80,16,1
16,80,17,1
17,80,18,1
18,80,19,1
19,80,20,1
20,80,21,1
21,80,22,1
22,80,23,1
23,80,24,1
24,80,25,1
25,80,26,1
26,80,27,1
27,80,28,1
28,80,29,1
29,80,30,1
30,80,31,1
31,80,32,1
32,80,33,1
33,80,34,1
34,80,35,1
35,80,36,1
36,80,37,1
37,80,38,1
38,80,39,1
39,80,40,1
40,80,41,1
41,80,42,1
42,80,43,1
43,80,44,1
44,80,45,1
45,80,46,1
46,80,47,1
47,80,48,1
48,80,49,1
49,80,50,1
50,80,51,1
51,80,52,1
52,80,53,1
53,80,54,1
54,80,55,1
55,80,56,1
56,80,57,1
57,80,58,1
58,80,59,1
59,80,60,1
60,80,61,1
61,80,62,1
62,80,63,1
63,80,64,1
64,80,65,1
65,80,66,1
66,80,67,1
67,80,68,1
68,80,69,1
69,80,70,1
70,80,71,1
71,80,72,1
72,80,73,1
73,80,74,1
74,80,75,1
75,80,76,1
76,80,77,1
77,80,78,1
78,80,79,1
79,80,80,1
80,80,81,1
81,80,82,1
82,80,83,1
83,80,84,1
84,80,85,1
85,80,86,1
86,80,87,1
87,80,88,1
88,80,89,1
89,80,90,1
90,80,91,1
91,80,92,1
92,80,93,1
93,80,94,1
94,80,95,1
95,80,96,1
96,80,97,1
97,80,98,1
98,80,99,1
99,80,100,1
100,80,101,1
101,80,102,1
102,80,103,1
103,80,104,1
104,80,105,1
105,80,106,1
106,80,107,1
107,80,108,1
108,80,109,1
109,80,110,1
110,80,111,1
111,80,112,1
112,80,113,1
113,80,114,1
114,80,115,1
115,80,116,1
116,80,117,1
117,80,118,1
118,80,119,1
119,80,120,1
120,80,121,1
121,80,122,1
122,80,123,1
123,80,124,1
124,80,125,1
125,80,126,1
126,80,127,1
127,80,128,1
128,80,129,1
129,80,130,1
130,80,131,1
131,80,132,1
132,80,133,1
133,80,134,1
134,80,135,1
135,80,136,1
136,80,137,1
137,80,138,1
138,80,139,1
139,80,140,1
140,80,141,1
141,80,142,1
142,80,143,1
143,80,144,1
144,80,145,1
145,80,146,1
146,80,147,1
147,80,148,1
148,80,149,1
149,80,150,1
150,80,151,1
151,80,152,1
152,80,153,1
153,80,154,0
154,80,155,1
155,80,156,1
156,80,157,1
157,80,158,1
158,80,159,1
159,80,160,1
160,80,161,1
161,80,162,1
162,80,163,1
163,80,164,1
164,80,165,1
165,80,166,1
166,80,167,1
167,80,168,1
168,80,169,1
169,80,170,1
170,80,171,1
171,80,172,1
172,80,173,1
173,80,174,1
174,80,175,1
175,80,176,1
176,80,177,1
177,80,178,1
178,80,179,1
179,80,180,1
180,80,181,1
181,80,182,1
182,80,183,1
183,80,184,1
184,80,185,1
185,80,186,1
186,80,187,1
187,80,188,1
188,80,189,1
189,80,190,1
190,80,191,1
191,80,192,1
192,80,193,1
193,80,194,1
194,80,195,1
195,80,196,1
196,80,197,1
197,80,198,1
198,80,199,1
199,80,200,1
200,80,201,1
201,80,202,1
202,80,203,1
203,80,204,1
204,80,205,1
205,80,206,1
206,80,207,1
207,80,208,1
208,80,209,1
209,80,210,1
210,80,211,1
211,80,212,1
212,80,213,1
213,80,214,1
214,80,215,1
215,80,216,1
216,80,217,1
217,80,218,1
218,80,219,1
219,80,220,1
220,80,221,1
221,80,222,1
222,80,223,1
223,80,224,1
224,80,225,1
225,80,226,1
226,80,227,1
227,80,228,1
228,80,229,1
229,80,230,1
230,80,231,1
231,80,232,1
232,80,233,1
233,80,234,1
234,80,235,1
235,80,236,1
236,80,237,1
237,80,238,1
238,80,239,1
239,80,240,1
240,80,241,1
241,80,242,1
242,80,243,1
243,80,244,1
244,80,245,1
245,80,246,1
246,80,247,1
247,80,248,1
248,80,249,1
249,80,250,1
250,80,251,1
251,80,252,1
252,80,253,1
253,80,254,1
254,80,255,1
255,80,256,1
256,80,257,1
257,80,258,1
258,80,259,1
259,80,260,1
260,80,261,1
261,80,262,1
262,80,263,1
263,80,264,1
264,80,265,1
265,80,266,1
266,80,267,1
267,80,268,1
268,80,269,1
269,80,270,1
270,80,271,1
271,80,272,1
272,80,273,1
273,80,274,1
274,80,275,1
275,80,276,1
276,80,277,1
277,80,278,1
278,80,279,1
279,80,280,1
280,80,281,1
281,80,282,1
282,80,283,1
283,80,284,1
284,80,285,1
285,80,286,1
286,80,287,1
287,80,288,1
288,80,289,1
289,80,290,1
290,80,291,1
291,80,292,1
292,80,293,1
293,80,294,1
294,80,295,1
295,80,296,1
296,80,297,1
297,80,298,1
298,80,299,1
299,80,300,1
300,80,301,1
301,80,302,1
302,80,303,1
303,80,304,1
304,80,305,1
305,80,306,1
306,80,307,1
307,80,308,1
308,80,309,1
309,80,310,1
310,80,311,1
311,80,312,1
312,80,313,1
313,80,314,1
314,80,315,1
315,80,316,1
316,80,317,1
317,80,318,1
318,80,319,1
319,80,320,1
320,80,321,1
321,80,322,1
322,80,323,1
323,80,324,1
324,80,325,1
325,80,326,1
326,80,327,1
327,80,328,1
328,80,329,1
329,80,330,1
330,80,331,1
331,80,332,1
332,80,333,1
333,80,334,1
334,80,335,1
335,80,336,1
336,80,337,1
337,80,338,1
338,80,339,1
339,80,340,1
340,80,341,1
341,80,342,1
342,80,343,1
343,80,344,1
344,80,345,1
345,80,346,1
346,80,347,1
347,80,348,1
348,80,349,1
349,80,350,1
350,80,351,1
351,80,352,1
352,80,353,1
353,80,354,1
354,80,355,1
355,80,356,1
356,80,357,1
357,80,358,1
358,80,359,1
359,80,360,1
360,80,361,1
361,80,362,1
362,80,363,1
363,80,364,1
364,80,365,1
365,80,366,1
366,80,367,1
367,80,368,1
368,80,369,1
369,80,370,1
370,80,371,1
371,80,372,1
372,80,373,1
373,80,374,1
374,80,375,1
375,80,376,1
376,80,377,1
377,80,378,1
378,80,379,1
379,80,380,1
380,80,381,1
381,80,382,1
382,80,383,1
383,80,384,1
384,80,385,1
385,80,386,1
386,80,387,1
387,80,388,1
388,80,389,1
389,80,390,1
390,80,391,1
391,80,392,1
392,80,393,1
393,80,394,1
394,80,395,1
395,80,396,1
396,80,397,1
397,80,398,1
398,80,399,1
399,80,400,1
400,80,401,1
401,80,402,1
402,80,403,1
403,80,404,1
404,80,405,1
405,80,406,1
406,80,407,1
407,80,408,1
408,80,409,1
409,80,410,1
410,80,411,1
411,80,412,1
412,80,413,1
413,80,414,1
414,80,415,1
415,80,416,1
416,80,417,1
417,80,418,1
418,80,419,1
419,80,420,1
420,80,421,1
421,80,422,1
422,80,423,1
423,80,424,0
424,80,425,1
425,80,426,1
426,80,427,1
427,80,428,1
428,80,429,1
429,80,430,1
430,80,431,1
431,80,432,1
432,80,433,1
433,80,434,0
434,80,435,0
435,80,436,0
436,80,437,1
437,80,438,1
438,80,439,1
439,80,440,1
440,80,441,1
441,80,442,1
442,80,443,1
443,80,444,1
444,80,445,1
445,80,446,1
446,80,447,1
447,80,448,1
448,80,449,1
449,80,450,1
450,80,451,1
451,80,452,1
452,80,453,1
453,80,454,1
454,80,455,1
455,80,456,1
456,80,457,1
457,80,458,1
458,80,459,1
459,80,460,1
460,80,461,1
461,80,462,1
462,80,463,1
463,80,464,1
464,80,465,1
465,80,466,1
466,80,467,1
467,80,468,1
468,80,469,1
469,80,470,1
470,80,471,1
471,80,472,1
472,80,473,1
473,80,474,1
474,80,475,1
475,80,476,1
476,80,477,1
477,80,478,1
478,80,479,1
479,80,480,1
480,80,481,1
481,80,482,1
482,80,483,1
483,80,484,1
484,80,485,0
485,80,486,0
486,80,487,0
487,80,488,0
488,80,489,0
489,80,490,0
490,80,491,0
491,80,492,0
492,80,493,0
493,80,494,0
494,80,495,0
495,80,496,0
496,80,497,0
497,80,498,0
498,80,499,0
499,80,500,0
500,80,501,0
501,80,502,0
502,80,503,0
503,80,504,0
504,80,505,0
505,80,506,0
506,80,507,0
507,80,508,0
508,80,509,0
509,80,510,0
510,80,511,0
511,80,512,0
512,80,513,0
513,80,514,0
514,80,515,0
515,80,516,0
516,80,517,0
517,80,518,0
518,80,519,0
519,80,520,1
520,80,521,1
521,80,522,1
