,Player,FrameNo,Shot
0,83,1,0
1,83,2,0
2,83,3,1
3,83,4,1
4,83,5,1
5,83,6,1
6,83,7,1
7,83,8,1
8,83,9,1
9,83,10,1
10,83,11,1
11,83,12,1
12,83,13,1
13,83,14,1
14,83,15,1
15,83,16,1
16,83,17,1
17,83,18,1
18,83,19,1
19,83,20,1
20,83,21,1
21,83,22,1
22,83,23,1
23,83,24,1
24,83,25,1
25,83,26,1
26,83,27,1
27,83,28,1
28,83,29,1
29,83,30,1
30,83,31,1
31,83,32,1
32,83,33,1
33,83,34,1
34,83,35,1
35,83,36,1
36,83,37,1
37,83,38,1
38,83,39,1
39,83,40,1
40,83,41,1
41,83,42,0
42,83,43,0
43,83,44,0
44,83,45,0
45,83,46,0
46,83,47,0
47,83,48,0
48,83,49,0
49,83,50,0
50,83,51,0
51,83,52,0
52,83,53,0
53,83,54,0
54,83,55,0
55,83,56,0
56,83,57,0
57,83,58,0
58,83,59,0
59,83,60,0
60,83,61,0
61,83,62,0
62,83,63,0
63,83,64,0
64,83,65,0
65,83,66,0
66,83,67,0
67,83,68,0
68,83,69,0
69,83,70,0
70,83,71,0
71,83,72,0
72,83,73,0
73,83,74,0
74,83,75,0
75,83,76,0
76,83,77,0
77,83,78,0
78,83,79,0
79,83,80,0
80,83,81,0
81,83,82,0
82,83,83,1
83,83,84,1
84,83,85,1
85,83,86,1
86,83,87,1
87,83,88,1
88,83,89,1
89,83,90,1
90,83,91,1
91,83,92,1
92,83,93,1
93,83,94,1
94,83,95,1
95,83,96,1
96,83,97,1
97,83,98,1
98,83,99,1
99,83,100,1
100,83,101,1
101,83,102,1
102,83,103,1
103,83,104,1
104,83,105,1
105,83,106,1
106,83,107,1
107,83,108,1
108,83,109,1
109,83,110,1
110,83,111,1
111,83,112,1
112,83,113,1
113,83,114,1
114,83,115,0
115,83,116,0
116,83,117,0
117,83,118,0
118,83,119,0
119,83,120,0
120,83,121,0
121,83,122,0
122,83,123,0
123,83,124,0
124,83,125,0
125,83,126,0
126,83,127,0
127,83,128,0
128,83,129,0
129,83,130,0
130,83,131,0
131,83,132,0
132,83,133,0
133,83,134,0
134,83,135,0
135,83,136,0
136,83,137,0
137,83,138,0
138,83,139,0
139,83,140,0
140,83,141,0
141,83,142,0
142,83,143,0
143,83,144,0
144,83,145,0
145,83,146,0
146,83,147,0
147,83,148,0
148,83,149,0
149,83,150,0
150,83,151,0
151,83,152,0
152,83,153,0
153,83,154,0
154,83,155,0
155,83,156,0
156,83,157,0
157,83,158,0
158,83,159,0
159,83,160,0
160,83,161,0
161,83,162,0
162,83,163,0
163,83,164,0
164,83,165,0
165,83,166,0
166,83,167,0
167,83,168,0
168,83,169,0
169,83,170,0
170,83,171,0
171,83,172,0
172,83,173,0
173,83,174,0
174,83,175,1
175,83,176,1
176,83,177,1
177,83,178,1
178,83,179,1
179,83,180,1
180,83,181,1
181,83,182,1
182,83,183,1
183,83,184,1
184,83,185,1
185,83,186,1
186,83,187,1
187,83,188,1
188,83,189,1
189,83,190,1
190,83,191,1
191,83,192,1
192,83,193,1
193,83,194,1
194,83,195,1
195,83,196,1
196,83,197,1
197,83,198,1
198,83,199,1
199,83,200,1
200,83,201,1
201,83,202,1
202,83,203,1
203,83,204,1
204,83,205,1
205,83,206,1
206,83,207,1
207,83,208,1
208,83,209,1
209,83,210,1
210,83,211,1
211,83,212,1
212,83,213,1
213,83,214,1
214,83,215,1
215,83,216,1
216,83,217,1
217,83,218,1
218,83,219,1
219,83,220,1
220,83,221,1
221,83,222,1
222,83,223,1
223,83,224,1
224,83,225,1
225,83,226,1
226,83,227,1
227,83,228,1
228,83,229,1
229,83,230,1
230,83,231,1
231,83,232,1
232,83,233,1
233,83,234,0
234,83,235,0
235,83,236,0
236,83,237,0
237,83,238,0
238,83,239,0
239,83,240,0
240,83,241,1
241,83,242,1
242,83,243,1
243,83,244,1
244,83,245,1
245,83,246,1
246,83,247,1
247,83,248,1
248,83,249,1
249,83,250,1
250,83,251,1
251,83,252,1
252,83,253,1
253,83,254,1
254,83,255,1
255,83,256,1
256,83,257,1
257,83,258,1
258,83,259,1
259,83,260,1
260,83,261,1
261,83,262,1
262,83,263,1
263,83,264,1
264,83,265,1
265,83,266,1
266,83,267,1
267,83,268,1
268,83,269,1
269,83,270,1
270,83,271,1
271,83,272,1
